MEMID,ED4A
005001006,
005002001,Upper Secondary
005002002,College/University and above
005002003,
005002004,Upper Secondary
005003001,Upper Secondary
005004001,College/University and above
005004002,College/University and above
005004003,Upper Secondary
005004004,Primary
005005001,Upper Secondary
005005002,Upper Secondary
005005003,Preschool
005005004,Primary
005006001,Upper Secondary
005006002,Upper Secondary
005006003,Upper Secondary
005006004,Preschool
005007001,Primary
005007002,Upper Secondary
005007003,Professional School
005007004,Primary
005008001,College/University and above
005008002,College/University and above
005008003,Primary
005008004,Primary
005008005,Primary
005009001,Lower Secondary
005009002,Upper Secondary
005009003,Upper Secondary
005009004,
005010001,Upper Secondary
005010002,Upper Secondary
005010003,
005010004,
005011001,Professional School
005011002,Upper Secondary
005012001,Professional School
005012002,Professional School
005012003,Lower Secondary
005012004,
005013001,Professional School
005013002,College/University and above
005013003,
005013004,
005014001,Lower Secondary
005014002,Primary
005015001,College/University and above
005015002,Professional School
005015003,
005016001,Primary
005016002,Upper Secondary
005016003,Preschool
005016004,Primary
005016005,Preschool
005016006,
005017001,Lower Secondary
005018001,Upper Secondary
005018002,Professional School
005018003,
005018004,Professional School
005019001,Lower Secondary
005019002,Lower Secondary
006001001,College/University and above
006001002,College/University and above
006001003,College/University and above
006001004,College/University and above
006001005,College/University and above
006001006,
006001007,
006001008,College/University and above
006002001,Upper Secondary
006002002,Upper Secondary
006002003,College/University and above
006002004,College/University and above
006002005,College/University and above
006002006,
006003001,College/University and above
006003002,College/University and above
006003003,Lower Secondary
006003004,Primary
006004001,Upper Secondary
006004002,Upper Secondary
006004003,Professional School
006004004,Professional School
006004005,Upper Secondary
006004006,
006005001,Lower Secondary
006005002,Lower Secondary
006005003,Lower Secondary
006005004,
006006001,Lower Secondary
006006002,Lower Secondary
006006003,College/University and above
006006004,College/University and above
006006005,
006007001,Lower Secondary
006007002,Upper Secondary
006007003,Upper Secondary
006007004,Primary
006007005,Primary
006008001,College/University and above
006008002,Professional School
006008003,Primary
006008004,
006008005,Upper Secondary
006010001,Upper Secondary
006010002,Professional School
006010003,Primary
006010004,
006011001,College/University and above
006011002,College/University and above
006011003,Preschool
006011004,
006012001,Primary
006012002,Lower Secondary
006012003,Professional School
006012004,Upper Secondary
006014001,Lower Secondary
006014002,Upper Secondary
006014003,College/University and above
006014004,Upper Secondary
006014005,
006014006,
006017001,Lower Secondary
006017002,Upper Secondary
006017003,Lower Secondary
006017004,Preschool
006018001,Lower Secondary
006018002,Lower Secondary
006019001,College/University and above
006019002,Professional School
006020001,College/University and above
006020002,College/University and above
006020003,College/University and above
006020004,College/University and above
006020005,College/University and above
007001001,Upper Secondary
007001002,Upper Secondary
007001003,Lower Secondary
007001004,Lower Secondary
007001005,Upper Secondary
007001006,
007002001,College/University and above
007003001,College/University and above
007003002,Professional School
007003003,Lower Secondary
007004001,Lower Secondary
007004002,Lower Secondary
007004003,College/University and above
007004004,
007004005,
007005001,Lower Secondary
007005002,Lower Secondary
007005003,Professional School
007005004,
007006001,Professional School
007006002,Professional School
007007001,College/University and above
007007002,College/University and above
007007003,Primary
007008001,Upper Secondary
007008002,Upper Secondary
007008003,Upper Secondary
007008004,College/University and above
007008005,Professional School
007009001,College/University and above
007009002,College/University and above
007009003,Upper Secondary
007010001,Professional School
007010002,Professional School
007010003,Professional School
007010004,College/University and above
007010005,College/University and above
007010006,Primary
007011001,Lower Secondary
007011002,Primary
007011003,Primary
007012001,Primary
007012002,Lower Secondary
007012003,Upper Secondary
007012004,Professional School
007012005,
007013001,Professional School
007013002,Professional School
007013003,Primary
007013004,Preschool
007014001,Upper Secondary
007014002,Professional School
007014003,Upper Secondary
007014004,Primary
007014005,Preschool
007015001,Lower Secondary
007015002,Lower Secondary
007015003,Lower Secondary
007016001,Upper Secondary
007016002,Lower Secondary
007016003,College/University and above
008001001,College/University and above
008001002,Lower Secondary
008002001,College/University and above
008002002,College/University and above
008002003,Upper Secondary
008002004,Preschool
008003001,College/University and above
008003002,Professional School
008004001,Professional School
008004002,Upper Secondary
008004003,Upper Secondary
008004004,College/University and above
008004005,College/University and above
008005001,Upper Secondary
008005002,Upper Secondary
008005003,College/University and above
008006001,College/University and above
008006002,College/University and above
008006003,Upper Secondary
008006004,Primary
008007001,College/University and above
008007002,Professional School
008008001,Upper Secondary
008008002,Upper Secondary
008008003,College/University and above
