MEMID,ED5A
001001001,UPPER SECONDARY
001001002,UPPER SECONDARY
001002001,LOWER SECONDARY
001002002,PRIMARY
001002003,UNIVERSITY/COLLEGE/HIGHER
001002004,LOWER SECONDARY
001003001,UPPER SECONDARY
001003002,VOCATIONAL HIGH SCHOOL
001003003,UNIVERSITY/COLLEGE/HIGHER
001004001,LOWER SECONDARY
001004002,LOWER SECONDARY
001004003,LOWER SECONDARY
001004004,ECE
001004005,ECE
001004006,
001005001,UPPER SECONDARY
001007001,UPPER SECONDARY
001007002,UPPER SECONDARY
001008001,VOCATIONAL HIGH SCHOOL
001008002,UPPER SECONDARY
001008003,LOWER SECONDARY
001008004,ECE
001009001,UPPER SECONDARY
001009002,UPPER SECONDARY
001009003,UPPER SECONDARY
001009004,UNIVERSITY/COLLEGE/HIGHER
001009005,ECE
001010001,LOWER SECONDARY
001010002,LOWER SECONDARY
001010003,UPPER SECONDARY
001010004,UNIVERSITY/COLLEGE/HIGHER
001010005,LOWER SECONDARY
001010006,ECE
001011001,UPPER SECONDARY
001011002,UPPER SECONDARY
001011003,UPPER SECONDARY
001011004,UNIVERSITY/COLLEGE/HIGHER
001011005,UNIVERSITY/COLLEGE/HIGHER
001011006,LOWER SECONDARY
001012001,UNIVERSITY/COLLEGE/HIGHER
001012002,UNIVERSITY/COLLEGE/HIGHER
001012003,UNIVERSITY/COLLEGE/HIGHER
001012004,LOWER SECONDARY
001013001,UPPER SECONDARY
001013002,LOWER SECONDARY
001013003,VOCATIONAL HIGH SCHOOL
001013004,UNIVERSITY/COLLEGE/HIGHER
001013005,LOWER SECONDARY
001013006,UNIVERSITY/COLLEGE/HIGHER
001013007,
001013008,
001015001,VOCATIONAL HIGH SCHOOL
001015002,VOCATIONAL HIGH SCHOOL
001016001,DK
001016002,PRIMARY
001016003,UPPER SECONDARY
001016004,UPPER SECONDARY
001017001,UNIVERSITY/COLLEGE/HIGHER
001017002,UPPER SECONDARY
001018001,UPPER SECONDARY
001018002,UPPER SECONDARY
001018003,UNIVERSITY/COLLEGE/HIGHER
001019001,UNIVERSITY/COLLEGE/HIGHER
001019002,UNIVERSITY/COLLEGE/HIGHER
001019003,UNIVERSITY/COLLEGE/HIGHER
001019004,ECE
001020001,VOCATIONAL HIGH SCHOOL
001020002,UNIVERSITY/COLLEGE/HIGHER
001020003,UNIVERSITY/COLLEGE/HIGHER
001020004,PRIMARY
001020005,ECE
002001001,PRIMARY
002001002,LOWER SECONDARY
002001003,UNIVERSITY/COLLEGE/HIGHER
002001004,PRIMARY
002002001,UPPER SECONDARY
002002002,VOCATIONAL HIGH SCHOOL
002002003,PRIMARY
002002004,
002002005,
002003001,UPPER SECONDARY
002004001,LOWER SECONDARY
002004002,UPPER SECONDARY
002004003,UNIVERSITY/COLLEGE/HIGHER
002004004,UNIVERSITY/COLLEGE/HIGHER
002005001,
002005002,LOWER SECONDARY
002006001,LOWER SECONDARY
002006002,LOWER SECONDARY
002006003,UNIVERSITY/COLLEGE/HIGHER
002006004,PRIMARY
002007001,LOWER SECONDARY
002007002,LOWER SECONDARY
002007003,PRIMARY
002008001,LOWER SECONDARY
002008002,LOWER SECONDARY
002008003,UNIVERSITY/COLLEGE/HIGHER
002008004,UNIVERSITY/COLLEGE/HIGHER
002008005,ECE
002008006,
002008007,UNIVERSITY/COLLEGE/HIGHER
002008008,UNIVERSITY/COLLEGE/HIGHER
002008009,PRIMARY
002009001,UPPER SECONDARY
002009002,PRIMARY
002009003,UPPER SECONDARY
002009004,UPPER SECONDARY
002011001,PRIMARY
002011002,PRIMARY
002012001,VOCATIONAL HIGH SCHOOL
002012002,UPPER SECONDARY
002012003,UNIVERSITY/COLLEGE/HIGHER
002012004,UNIVERSITY/COLLEGE/HIGHER
002012005,UNIVERSITY/COLLEGE/HIGHER
