HHID,ethnicity_hh
014011,Kinh and Hoa
014012,Kinh and Hoa
014013,Kinh and Hoa
014014,Kinh and Hoa
014015,Kinh and Hoa
014016,Kinh and Hoa
014017,Kinh and Hoa
014018,Kinh and Hoa
014019,Kinh and Hoa
014020,Kinh and Hoa
015001,Kinh and Hoa
015002,Kinh and Hoa
015003,
015004,Kinh and Hoa
015005,
015006,Kinh and Hoa
015007,Kinh and Hoa
015008,Kinh and Hoa
015009,Kinh and Hoa
015010,Kinh and Hoa
015011,Kinh and Hoa
015012,
015013,Kinh and Hoa
015014,Kinh and Hoa
015015,Kinh and Hoa
015016,Kinh and Hoa
015017,Kinh and Hoa
015018,Kinh and Hoa
015019,Kinh and Hoa
015020,Kinh and Hoa
016001,Kinh and Hoa
016002,Kinh and Hoa
016003,Kinh and Hoa
016004,Kinh and Hoa
016005,Kinh and Hoa
016006,
016007,Kinh and Hoa
016008,Kinh and Hoa
016009,Kinh and Hoa
016010,Kinh and Hoa
016011,Kinh and Hoa
016012,Kinh and Hoa
016013,
016014,
016015,Kinh and Hoa
016016,Kinh and Hoa
016017,Kinh and Hoa
016018,Kinh and Hoa
016019,Kinh and Hoa
016020,Kinh and Hoa
017001,Kinh and Hoa
017002,Kinh and Hoa
017003,Kinh and Hoa
017004,Kinh and Hoa
017005,Kinh and Hoa
017006,Kinh and Hoa
017007,Kinh and Hoa
017008,Kinh and Hoa
017009,Kinh and Hoa
017010,Kinh and Hoa
017011,Kinh and Hoa
017012,Kinh and Hoa
017013,Kinh and Hoa
017014,Kinh and Hoa
017015,Kinh and Hoa
017016,Kinh and Hoa
017017,Kinh and Hoa
017018,Kinh and Hoa
017019,Kinh and Hoa
017020,Kinh and Hoa
018001,Kinh and Hoa
018002,Kinh and Hoa
018003,Kinh and Hoa
018004,Kinh and Hoa
018005,Kinh and Hoa
018006,Kinh and Hoa
018007,Kinh and Hoa
018008,Kinh and Hoa
018009,
018010,
018011,Kinh and Hoa
018012,Kinh and Hoa
018013,Kinh and Hoa
018014,Kinh and Hoa
018015,Kinh and Hoa
018016,Kinh and Hoa
018017,Kinh and Hoa
018018,Kinh and Hoa
018019,
018020,Kinh and Hoa
019001,Kinh and Hoa
019002,Kinh and Hoa
019003,Kinh and Hoa
019004,Kinh and Hoa
019005,Kinh and Hoa
019006,Kinh and Hoa
019007,Kinh and Hoa
019008,Kinh and Hoa
019009,Kinh and Hoa
019010,Kinh and Hoa
019011,
019012,Kinh and Hoa
019013,Kinh and Hoa
019014,Kinh and Hoa
019015,Kinh and Hoa
019016,Kinh and Hoa
019017,Kinh and Hoa
019018,Kinh and Hoa
019019,Kinh and Hoa
019020,Kinh and Hoa
020001,Kinh and Hoa
020002,Kinh and Hoa
020003,Kinh and Hoa
020004,Kinh and Hoa
020005,
020006,Kinh and Hoa
020007,
020008,Kinh and Hoa
020009,Kinh and Hoa
020010,Kinh and Hoa
020011,Kinh and Hoa
020012,Kinh and Hoa
020013,Kinh and Hoa
020014,Kinh and Hoa
020015,Kinh and Hoa
020016,Kinh and Hoa
020017,Kinh and Hoa
020018,Kinh and Hoa
020019,Kinh and Hoa
020020,Kinh and Hoa
021001,Kinh and Hoa
021002,Kinh and Hoa
021003,Kinh and Hoa
021004,Kinh and Hoa
021005,Kinh and Hoa
021006,Kinh and Hoa
021007,
021008,Kinh and Hoa
021009,Kinh and Hoa
021010,Kinh and Hoa
021011,Kinh and Hoa
021012,Kinh and Hoa
021013,Kinh and Hoa
021014,Kinh and Hoa
021015,Kinh and Hoa
021016,Kinh and Hoa
021017,
021018,Kinh and Hoa
021019,Kinh and Hoa
021020,Kinh and Hoa
022001,Kinh and Hoa
022002,Kinh and Hoa
022003,Kinh and Hoa
022004,Kinh and Hoa
022005,Kinh and Hoa
022006,Kinh and Hoa
022007,
022008,Kinh and Hoa
022009,Kinh and Hoa
022010,Kinh and Hoa
022011,"Tay, Thai, Muong, Nung"
022012,Kinh and Hoa
022013,Kinh and Hoa
022014,
022015,
022016,Kinh and Hoa
022017,Kinh and Hoa
022018,Kinh and Hoa
022019,Kinh and Hoa
022020,Kinh and Hoa
023001,Kinh and Hoa
023002,Kinh and Hoa
023003,Kinh and Hoa
023004,Kinh and Hoa
023005,Kinh and Hoa
023006,Kinh and Hoa
023007,Kinh and Hoa
023008,Kinh and Hoa
023009,Kinh and Hoa
023010,Kinh and Hoa
023011,"Tay, Thai, Muong, Nung"
023012,"Tay, Thai, Muong, Nung"
023013,Kinh and Hoa
023014,Kinh and Hoa
023015,Kinh and Hoa
023016,Kinh and Hoa
023017,
023018,Kinh and Hoa
023019,Kinh and Hoa
023020,
024001,Kinh and Hoa
024002,Kinh and Hoa
024003,Kinh and Hoa
024004,Kinh and Hoa
024005,Kinh and Hoa
024006,Kinh and Hoa
024007,Kinh and Hoa
024008,Kinh and Hoa
024009,Kinh and Hoa
024010,Kinh and Hoa
024011,Kinh and Hoa
024012,Kinh and Hoa
024013,Kinh and Hoa
024014,Kinh and Hoa
024015,Kinh and Hoa
024016,Kinh and Hoa
024017,Kinh and Hoa
024018,Kinh and Hoa
024019,Kinh and Hoa
024020,Kinh and Hoa
025001,Kinh and Hoa
025002,Kinh and Hoa
025003,Kinh and Hoa
