HHID,HHAGE,HHSEX
019005,26.0,Male
019006,34.0,Male
019007,37.0,Female
019008,36.0,Male
019009,39.0,Female
019010,20.0,Male
019012,35.0,Male
019013,29.0,Male
019014,30.0,Male
019015,31.0,Female
019016,35.0,Male
019017,37.0,Male
019018,29.0,Male
019019,34.0,Male
019020,36.0,Male
020001,27.0,Female
020002,41.0,Female
020003,41.0,Male
020004,51.0,Male
020006,66.0,Female
020008,48.0,Female
020009,41.0,Female
020010,73.0,Female
020011,73.0,Male
020012,72.0,Male
020013,61.0,Female
020014,78.0,Male
020015,38.0,Female
020016,47.0,Male
020017,43.0,Female
020018,66.0,Female
020019,40.0,Female
020020,38.0,Female
021001,82.0,Female
021002,70.0,Female
021003,60.0,Female
021004,48.0,Male
021005,40.0,Male
021006,37.0,Male
021008,51.0,Female
021009,73.0,Male
021010,58.0,Female
021011,49.0,Male
021012,62.0,Male
021013,70.0,Male
021014,83.0,Female
021015,43.0,Male
021016,75.0,Female
021018,35.0,Female
021019,38.0,Male
021020,57.0,Male
022001,46.0,Male
022002,59.0,Male
022003,44.0,Male
022004,75.0,Female
022005,63.0,Male
022006,19.0,Female
022008,49.0,Male
022009,80.0,Male
022010,37.0,Male
022011,47.0,Male
022012,55.0,Female
022013,54.0,Male
022016,34.0,Male
022017,22.0,Female
022018,60.0,Male
022019,22.0,Male
022020,20.0,Female
023001,46.0,Female
023002,81.0,Male
023003,83.0,Female
023004,84.0,Male
023005,41.0,Female
023006,82.0,Male
023007,79.0,Male
023008,41.0,Male
023009,50.0,Female
023010,78.0,Female
023011,66.0,Female
023012,73.0,Male
023013,46.0,Female
023014,41.0,Female
023015,32.0,Male
023016,50.0,Female
023018,71.0,Female
023019,39.0,Female
024001,42.0,Male
024002,31.0,Male
024003,78.0,Male
024004,34.0,Male
024005,56.0,Male
024006,48.0,Male
024007,67.0,Female
024008,37.0,Male
024009,31.0,Male
024010,52.0,Female
024011,41.0,Male
024012,71.0,Female
024013,53.0,Male
024014,41.0,Male
024015,78.0,Female
024016,61.0,Female
024017,35.0,Male
024018,66.0,Male
024019,37.0,Male
024020,56.0,Male
025001,34.0,Male
025002,79.0,Female
025003,61.0,Male
025004,66.0,Male
025005,49.0,Male
025006,51.0,Male
025007,62.0,Female
025008,62.0,Male
025009,81.0,Female
025010,50.0,Male
025011,42.0,Male
025012,33.0,Male
025013,59.0,Male
025014,54.0,Male
025015,52.0,Male
025016,51.0,Male
025017,38.0,Male
025018,41.0,Male
025019,65.0,Female
025020,40.0,Female
026001,63.0,Male
026002,39.0,Male
026003,54.0,Male
026004,46.0,Male
026005,65.0,Male
026006,44.0,Male
026007,62.0,Male
026008,72.0,Male
026009,42.0,Male
026010,44.0,Male
026011,52.0,Male
026012,31.0,Female
026013,62.0,Male
026014,76.0,Female
026015,78.0,Male
026016,41.0,Male
026017,62.0,Female
026020,62.0,Male
027001,44.0,Male
027002,70.0,Female
027003,81.0,Male
027004,43.0,Male
027005,60.0,Female
027006,69.0,Female
027007,45.0,Male
027008,53.0,Male
027009,48.0,Male
027010,46.0,Male
027011,63.0,Female
027012,44.0,Male
027013,48.0,Male
027014,32.0,Male
027015,81.0,Male
027016,63.0,Male
027017,60.0,Female
027018,56.0,Female
027019,39.0,Male
027020,80.0,Male
028001,55.0,Male
028002,54.0,Male
028003,50.0,Male
028004,26.0,Male
028005,79.0,Female
028006,49.0,Male
028007,33.0,Male
028008,26.0,Male
028009,41.0,Male
028010,95+,Male
028011,35.0,Male
028012,54.0,Female
028013,79.0,Female
028014,66.0,Male
028015,45.0,Male
028016,44.0,Male
028017,51.0,Male
028018,73.0,Female
028019,73.0,Male
028020,36.0,Male
029001,51.0,Male
029002,79.0,Female
029003,36.0,Male
029004,34.0,Male
029005,63.0,Male
029006,46.0,Male
029007,40.0,Male
029008,58.0,Male
029009,29.0,Male
029010,49.0,Male
029011,28.0,Male
029012,46.0,Male
029013,34.0,Male
029014,72.0,Male
029015,76.0,Male
029016,59.0,Male
029017,42.0,Male
029018,86.0,Male
029019,59.0,Male
029020,44.0,Male
030001,33.0,Female
030002,42.0,Male
030003,19.0,Female
030004,61.0,Male
030005,40.0,Male
030006,35.0,Male
030007,39.0,Male
030009,57.0,Male
030010,42.0,Male
030011,71.0,Female
030012,58.0,Male
030013,41.0,Female
030014,47.0,Male
030015,40.0,Female
030018,47.0,Male
030019,36.0,Female
031001,30.0,Female
031002,34.0,Female
031003,30.0,Male
031004,35.0,Female
031005,36.0,Female
031006,35.0,Female
031007,44.0,Male
031008,44.0,Male
031009,57.0,Male
031010,34.0,Male
031011,39.0,Female
031012,38.0,Male
031014,63.0,Male
031016,46.0,Female
031018,39.0,Male
031019,35.0,Male
031020,28.0,Male
032001,44.0,Male
032002,55.0,Male
032003,45.0,Female
032004,30.0,Female
032005,72.0,Female
032006,59.0,Female
032007,59.0,Male
032008,67.0,Male
032009,68.0,Male
032010,59.0,Male
032011,51.0,Male
032015,41.0,Male
032017,38.0,Male
032018,41.0,Male
032019,39.0,Male
032020,23.0,Male
033001,38.0,Male
033002,33.0,Male
033003,26.0,Female
033005,34.0,Male
033006,38.0,Male
033007,71.0,Female
033008,76.0,Male
033009,37.0,Male
033010,33.0,Female
033011,34.0,Male
033013,28.0,Female
033014,62.0,Male
033015,46.0,Male
033016,35.0,Male
033017,38.0,Female
033018,40.0,Male
033019,43.0,Male
033020,36.0,Male
034001,45.0,Male
034002,82.0,Female
034003,66.0,Male
034004,91.0,Male
034005,58.0,Male
034006,71.0,Female
034007,30.0,Male
034008,82.0,Male
034009,47.0,Female
034010,61.0,Male
034011,48.0,Female
034012,46.0,Male
034013,79.0,Female
034014,80.0,Female
034015,47.0,Male
034016,58.0,Male
034017,61.0,Female
034018,56.0,Female
035001,28.0,Male
035002,20.0,Female
035003,72.0,Female
035004,67.0,Female
035005,27.0,Male
035006,19.0,Female
035008,57.0,Female
035009,31.0,Female
035010,34.0,Female
035011,20.0,Female
035012,33.0,Male
035013,43.0,Female
035014,18.0,Female
035015,56.0,Male
035016,20.0,Female
035017,69.0,Female
035018,63.0,Female
035019,55.0,Male
035020,30.0,Male
036001,52.0,Male
036002,37.0,Male
036003,48.0,Male
036004,21.0,Male
036005,25.0,Male
036006,24.0,Female
036007,23.0,Female
036008,19.0,Male
036009,20.0,Female
036010,28.0,Female
036011,20.0,Male
036012,20.0,Male
036013,24.0,Female
036014,32.0,Female
036015,20.0,Female
036017,23.0,Male
036018,54.0,Male
036019,20.0,Female
036020,32.0,Male
037001,30.0,Male
037002,25.0,Male
037003,49.0,Male
037005,41.0,Male
037006,59.0,Male
037007,75.0,Male
037008,39.0,Male
037009,22.0,Male
037010,21.0,Female
037011,39.0,Male
037013,32.0,Male
037014,20.0,Female
037015,43.0,Female
037016,37.0,Male
037018,21.0,Female
037019,39.0,Male
037020,68.0,Male
038001,44.0,Male
038002,57.0,Male
038003,53.0,Male
038004,36.0,Male
038005,46.0,Male
038006,40.0,Female
038007,42.0,Female
038008,57.0,Male
038009,36.0,Female
038010,65.0,Female
038011,36.0,Male
038012,61.0,Male
038013,66.0,Male
038014,45.0,Male
038015,55.0,Female
038016,65.0,Male
038017,43.0,Male
038018,55.0,Male
038019,51.0,Male
038020,45.0,Female
039001,40.0,Male
039002,49.0,Male
039003,63.0,Female
039004,48.0,Male
039005,50.0,Male
039006,37.0,Male
039007,47.0,Male
039008,39.0,Male
039009,56.0,Male
039011,93.0,Female
039012,39.0,Male
039013,28.0,Male
039014,53.0,Male
039015,45.0,Male
039016,41.0,Male
039017,54.0,Female
039018,63.0,Female
039019,51.0,Male
039020,81.0,Male
040001,66.0,Male
040002,30.0,Male
040003,56.0,Male
040004,32.0,Female
040005,45.0,Female
040006,70.0,Male
040007,43.0,Male
040008,49.0,Male
040009,70.0,Male
040010,57.0,Male
040011,37.0,Female
040012,90.0,Male
040013,41.0,Male
040014,82.0,Male
040015,50.0,Male
040016,65.0,Female
040017,39.0,Male
040018,46.0,Male
040019,48.0,Male
040020,74.0,Male
041001,45.0,Female
041002,55.0,Female
041003,59.0,Female
041004,70.0,Female
041006,70.0,Female
041007,61.0,Female
041008,56.0,Male
041009,66.0,Male
041010,42.0,Male
041011,72.0,Female
041012,68.0,Female
041013,57.0,Female
041014,52.0,Male
041015,66.0,Female
041016,64.0,Female
041017,60.0,Female
041018,34.0,Female
041019,47.0,Female
042001,41.0,Female
042002,44.0,Male
042003,47.0,Female
042005,59.0,Female
042006,64.0,Male
042007,44.0,Male
042008,51.0,Female
042009,40.0,Male
042011,61.0,Male
042012,69.0,Male
042013,45.0,Female
042014,55.0,Female
042016,45.0,Female
042017,42.0,Female
042018,52.0,Female
042019,75.0,Male
042020,46.0,Male
043003,36.0,Female
043005,38.0,Male
043007,72.0,Female
043008,29.0,Male
043009,41.0,Female
043010,55.0,Male
043011,46.0,Male
043012,60.0,Female
043013,37.0,Male
043014,35.0,Male
043015,51.0,Male
043016,54.0,Male
043017,48.0,Male
043018,48.0,Male
043019,62.0,Male
044001,51.0,Male
044002,63.0,Male
044003,57.0,Male
044004,56.0,Female
044005,64.0,Female
044006,78.0,Female
044007,39.0,Male
044008,64.0,Male
044009,48.0,Male
