MEMID,ed3a
101090909076001,Long apprentice
101090909076002,Long apprentice
101090909076003,Secondary
101090909076004,Higher
101151905001001,Lower secondary
101151905001002,Primary
101151905001003,Lower secondary
101151905001004,Lower secondary
101151905001005,Primary
101151905001006,Non-standard curriculum
101151905001007,Lower secondary
101151905002001,Lower secondary
101151905002002,Lower secondary
101151905002003,Primary
101151905002004,Primary
101151905003001,Secondary
101151905003002,Lower secondary
101151905003003,Secondary
101151905003004,Secondary
101151905003005,Primary
101151905004001,Secondary
101151905004002,Primary
101151905004003,Long apprentice
101151905004004,Long apprentice
101151905004005,Lower secondary
101151905004006,Primary
101151905004007,Long apprentice
101151905005001,Lower secondary
101151905005002,Primary
101151905005003,Secondary
101151905005004,Secondary
101151905005005,Lower secondary
101151905005006,Primary
101151905006001,Lower secondary
101151905006002,Lower secondary
101151905006003,Secondary
101151905006004,Secondary
101151905007001,Lower secondary
101151905007002,Lower secondary
101151905007003,Lower secondary
101151905007004,Lower secondary
101151905008001,Primary
101151905008002,Primary
101151905008003,Lower secondary
101151905008004,Lower secondary
101151905008005,Lower secondary
101151905008006,Primary
101151905009001,Secondary
101151905009002,Secondary
101151905009003,Higher
101151905009004,Secondary
101151905010001,Secondary
101151905010002,Primary
101151905010003,Long apprentice
101151905011001,Lower secondary
101151905011002,Lower secondary
101151905011003,Primary
101151905011004,Primary
101151905011005,
101151905011006,
101151905012001,Lower secondary
101151905012002,Secondary
101151905012003,Preschool/kindergarten
101151905012004,
101151905013001,Lower secondary
101151905013002,Lower secondary
101151905013003,Secondary
101151905013004,Lower secondary
101151905013005,Primary
101151905014001,Lower secondary
101151905014002,Primary
101151905015001,Primary
101151905015002,Primary
101151905015003,Lower secondary
101151905015004,Lower secondary
101151905015005,Lower secondary
101151905015006,Secondary
101151905015007,Lower secondary
101151905015008,Lower secondary
101151905015009,Lower secondary
101151905016001,Primary
101151905016002,Lower secondary
101151905016003,Lower secondary
101151905016004,Preschool/kindergarten
101151905016005,
101151905017001,Lower secondary
101151905017002,Lower secondary
101151905017003,Secondary
101151905017004,Secondary
101151905017005,Secondary
101151905017006,
101151905017007,
101151905018001,Lower secondary
101151905018002,Lower secondary
101151905018003,Secondary
101151905018004,Secondary
101151905018005,
101151905018006,Secondary
101151905018007,Secondary
101151905019001,Lower secondary
101151905019002,Lower secondary
101151905019003,Lower secondary
101151905019004,Lower secondary
101151905019005,
101151905019006,
101151905020001,Secondary
101151905020002,Lower secondary
101151905020003,Lower secondary
101151905021001,Primary
101151905021002,Lower secondary
101151905021003,Lower secondary
101151905021004,Primary
101151905021005,
101151905022001,Secondary
101151905022002,Lower secondary
101151905022003,Lower secondary
101151905022004,Lower secondary
101151905022005,Secondary
101151905022006,Secondary
101151905022007,Non-standard curriculum
101151905023001,Lower secondary
101151905023002,Primary
101151905023003,Preschool/kindergarten
101151905024001,Lower secondary
101151905024002,Secondary
101151905024003,Secondary
101151905024004,Lower secondary
101151905024005,Primary
101151905025001,Lower secondary
101151905025002,Secondary
101151905025003,Secondary
101151905025004,Lower secondary
101151905026001,Lower secondary
101151905026002,Lower secondary
101151905026003,Secondary
101151905026004,Lower secondary
101151905027001,Lower secondary
101151905027002,Lower secondary
101151905027003,Secondary
101151905027004,Secondary
101151905028001,Lower secondary
101151905028002,Lower secondary
101151905028003,Secondary
101151905028004,Secondary
101151905028005,Lower secondary
101151905029001,Lower secondary
101151905029002,Secondary
101151905030001,Secondary
101151905030002,Lower secondary
101151905030003,Lower secondary
101151905030004,Secondary
101151905030005,Secondary
101151905030006,Lower secondary
101151905031001,Primary
101151905031002,Primary
101151905032001,Lower secondary
101151905032002,Lower secondary
101151905032003,Secondary
101151905032004,Lower secondary
101151905032005,Secondary
101151905032006,
101151905033001,Lower secondary
101151905033002,Secondary
101151905033003,Primary
101151905034001,Primary
101151905034002,Primary
101151905034003,Lower secondary
101151905034004,Primary
101151905034005,Primary
101151905035001,
101151905035002,Lower secondary
101151905036001,Secondary
101151905036002,Lower secondary
101151905036003,Lower secondary
101151905036004,Primary
101151905037001,Lower secondary
101151905037002,Secondary
101151905037003,Lower secondary
101151905037004,Lower secondary
101151905037005,
101151905038001,Lower secondary
101151905038002,Secondary
101151905038003,Secondary
101151905038004,Lower secondary
101151905038005,Lower secondary
101151905038006,Primary
101151905039001,Lower secondary
101151905039002,Lower secondary
101151905039003,
101151905040001,Lower secondary
101151905040002,Primary
101151905040003,Lower secondary
101151905041001,Lower secondary
101151905041002,Lower secondary
101151905041003,Lower secondary
101151905041004,Lower secondary
101151905041005,Lower secondary
101151905041006,Lower secondary
101151905041007,Secondary
101151905041008,
101151905042001,Lower secondary
101151905042002,Lower secondary
101151905042003,Lower secondary
101151905042004,Secondary
101151905042005,Lower secondary
101151905042006,Lower secondary
101151905042007,
101151905042008,Lower secondary
101151905043001,Lower secondary
101151905043002,Lower secondary
101151905043003,Lower secondary
101151905043004,Lower secondary
101151905043005,Primary
101151905043006,
101151905044001,
101151905044002,Lower secondary
101151905044003,Primary
101151905045001,Lower secondary
101151905045002,Primary
101151905045003,Secondary
101151905046001,Lower secondary
101151905046002,Lower secondary
101151905046003,Lower secondary
101151905046004,Lower secondary
101151905048001,Primary
101151905048002,
101151905048003,Lower secondary
101151905048004,Primary
101151905048005,Preschool/kindergarten
101151905049001,Lower secondary
101151905049002,Primary
101151905049003,Secondary
101151905049004,
101151905050001,Primary
101151905050002,Lower secondary
101151905050003,Lower secondary
101151905050004,Lower secondary
101151905050005,Primary
101151905050006,Primary
101151905050007,Lower secondary
101151905050008,Lower secondary
101151905050009,Secondary
101151905062001,Secondary
101151905062002,Lower secondary
101151905062003,Lower secondary
101151905062004,
101190761001001,Primary
101190761001002,Lower secondary
101190761001003,Lower secondary
101190761001004,Lower secondary
101190761002001,Lower secondary
101190761002002,Lower secondary
101190761002003,Lower secondary
101190761002004,Lower secondary
101190761004001,Long apprentice
101190761004002,Lower secondary
101190761004003,Lower secondary
101190761004004,Secondary
101190761004005,Secondary
101190761005001,Primary
101190761005002,Lower secondary
101190761005003,Secondary
101190761005004,Lower secondary
101190761006001,Lower secondary
101190761006002,Lower secondary
101190761006003,Long apprentice
101190761006004,Higher
101190761006005,Secondary
101190761006006,Lower secondary
101190761006007,
101190761007001,Lower secondary
101190761007002,Secondary
101190761007003,Secondary
101190761007004,Lower secondary
101190761007005,
101190761008001,Secondary
101190761008002,Lower secondary
101190761008003,Primary
101190761009001,Secondary
101190761009002,Secondary
101190761009003,Primary
101190761009004,
101190761010001,Lower secondary
101190761010002,Secondary
101190761011001,Lower secondary
101190761011002,Lower secondary
101190761011003,Long apprentice
101190761011004,Secondary
101190761011005,
101190761012001,Secondary
101190761012002,Lower secondary
101190761012003,Primary
101190761013001,Lower secondary
101190761013002,Primary
101190761013003,Secondary
101190761013004,Long apprentice
101190761013005,Secondary
101190761013006,
101190761014001,Lower secondary
101190761014002,Lower secondary
101190761014003,Lower secondary
101190761014004,
101190761015001,Lower secondary
101190761015002,Secondary
101190761015003,Lower secondary
101190761015004,Primary
101190761016001,Lower secondary
101190761016002,Secondary
101190761016003,Primary
101190761016004,Primary
101190761017001,Lower secondary
101190761017002,Lower secondary
101190761017003,Lower secondary
101190761017004,Lower secondary
101190761017005,
101190761018001,Lower secondary
101190761018002,Lower secondary
101190761018003,Higher
101190761018004,Secondary
101190761019001,Long apprentice
101190761019002,Lower secondary
101190761019003,Primary
101190761019004,Primary
101190761020001,Long apprentice
101190761020002,Lower secondary
101190761020003,Secondary
101190761020004,Secondary
101190761020005,Secondary
101190761021001,
101190761021002,Lower secondary
101190761021003,Lower secondary
101190761021004,Long apprentice
101190761022001,Non-standard curriculum
101190761022002,Higher
101190761022003,Lower secondary
101190761022004,Secondary
101190761022005,Lower secondary
101190761023001,Higher
101190761023002,Secondary
101190761023003,Long apprentice
101190761023004,Long apprentice
101190761023005,Long apprentice
101190761023006,Secondary
101190761023007,
101190761024001,Secondary
101190761024002,Short Apprentice
101190761024003,Lower secondary
101190761024004,Lower secondary
101190761025001,Lower secondary
101190761025002,Lower secondary
101190761025003,Secondary
101190761025004,Secondary
101190761026001,Lower secondary
101190761026002,Lower secondary
101190761026003,Secondary
101190761026004,Lower secondary
101190761026005,Primary
101190761027001,Lower secondary
101190761027002,Lower secondary
101190761027003,Secondary
101190761027004,Secondary
101190761028001,Lower secondary
101190761028002,Lower secondary
101190761028003,Lower secondary
101190761028004,Lower secondary
101190761028005,
101190761028006,Secondary
101190761029001,Lower secondary
101190761029002,Lower secondary
101190761029003,Secondary
101190761029004,Lower secondary
101190761030001,Primary
101190761030002,Lower secondary
101190761030003,Lower secondary
101190761030004,Lower secondary
101190761030005,
101190761031001,Lower secondary
101190761031002,Lower secondary
101190761031003,Long apprentice
101190761032001,Lower secondary
101190761032002,Secondary
101190761032003,Lower secondary
101190761033001,Lower secondary
101190761033002,
101190761033003,Secondary
101190761034001,Lower secondary
101190761034002,Lower secondary
101190761034003,Lower secondary
101190761035001,Long apprentice
101190761035002,Lower secondary
101190761035003,Secondary
101190761035004,Lower secondary
101190761035005,Lower secondary
101190761036001,Lower secondary
101190761036002,Lower secondary
101190761036003,Lower secondary
101190761036004,
101190761037001,Primary
101190761037002,Primary
101190761037003,Secondary
101190761037004,Lower secondary
101190761037005,Lower secondary
101190761037006,
101190761038001,Secondary
101190761038002,Lower secondary
101190761038003,Secondary
101190761038004,Secondary
101190761039001,Lower secondary
101190761039002,Lower secondary
101190761039003,Lower secondary
101190761039004,Preschool/kindergarten
101190761039005,
101190761040001,Primary
101190761040002,Lower secondary
101190761040003,Secondary
101190761040004,Lower secondary
101190761041001,Primary
101190761041002,Lower secondary
101190761042001,Lower secondary
101190761042002,Lower secondary
101190761042003,Secondary
101190761042004,Secondary
101190761042005,Lower secondary
101190761043001,Primary
101190761043002,
101190761043003,Lower secondary
101190761043004,Lower secondary
101190761043005,Lower secondary
101190761065001,Lower secondary
101190761065002,Lower secondary
101190761065003,Lower secondary
101190761065004,Secondary
101190761065005,
101192903001001,Long apprentice
101192903001002,Long apprentice
101192903001003,Higher
101192903001004,Higher
101192903002001,Lower secondary
101192903002002,Long apprentice
101192903002003,Secondary
101192903002004,Lower secondary
101192903002005,Higher
101192903002006,
101192903003001,Secondary
101192903003002,Secondary
101192903003003,Secondary
101192903003004,Primary
101192903003005,
101192903004001,Long apprentice
101192903004002,Long apprentice
101192903004003,Higher
101192903004004,Long apprentice
101192903005001,Lower secondary
101192903005002,Lower secondary
101192903005003,Higher
101192903005004,Higher
101192903006001,Higher
101192903006002,Higher
101192903006003,Secondary
101192903008001,Long apprentice
101192903008002,Higher
101192903008003,Primary
101192903008004,Primary
101192903009001,Long apprentice
101192903009002,Higher
101192903009003,Higher
101192903009004,Secondary
101192903010001,Higher
101192903010002,Primary
101192903010003,Secondary
101192903010004,Long apprentice
101192903010005,
101192903011001,Long apprentice
101192903011002,Long apprentice
101192903011003,Higher
101192903011004,Higher
101192903011005,Long apprentice
101192903012001,Secondary
101192903012002,Short Apprentice
101192903012003,Secondary
101192903012004,Secondary
101192903013001,Higher
101192903013002,Higher
101192903014001,Higher
101192903014002,Long apprentice
101192903014003,Higher
101192903015001,Secondary
101192903015002,Secondary
101192903015003,Secondary
101192903015004,
101192903016001,Lower secondary
101192903016002,Secondary
101192903016003,Long apprentice
101192903016004,Higher
101192903016005,Secondary
101192903018001,Secondary
101192903018002,Long apprentice
101192903018003,Secondary
101192903018004,Higher
101192903019001,Long apprentice
101192903019002,Higher
101192903019003,Higher
101192903019004,Long apprentice
101192903020001,Lower secondary
101192903020002,Lower secondary
101192903020003,Long apprentice
101192903020004,Preschool/kindergarten
101192903020005,Higher
101192903021001,Long apprentice
101192903021002,Higher
101192903021003,Secondary
101192903021004,Lower secondary
101192903022001,Long apprentice
101192903022002,Higher
101192903022003,Higher
101192903023001,Lower secondary
101192903024001,Higher
101192903024002,Primary
101192903025001,Non-standard curriculum
101192903025002,Higher
101192903026001,Secondary
101192903026002,Secondary
101192903026003,Primary
101192903026004,
101192903027001,Higher
101192903027002,Secondary
101192903027003,Higher
101192903027004,Higher
101192903027005,
101192903028001,Lower secondary
101192903028002,Secondary
101192903028003,Long apprentice
101192903028004,Higher
101192903028005,
101192903028006,Higher
101192903029001,Long apprentice
101192903029002,Higher
101192903029003,Higher
101192903029004,Secondary
101192903030001,Secondary
101192903030002,Higher
101192903030003,Higher
101192903030004,
101192903032001,Lower secondary
101192903032002,Secondary
101192903032003,Secondary
101192903032004,Lower secondary
101192903034001,Long apprentice
101192903034002,Long apprentice
101192903034003,Secondary
101192903034004,Long apprentice
101192903034005,
101192903061001,Long apprentice
101192903061002,Long apprentice
101192903061003,Higher
101192903061004,Secondary
101192903062001,Short Apprentice
101192903062002,Higher
101192903062003,Secondary
101192903064001,Higher
101192903064002,Long apprentice
101192903064003,Higher
101192903064004,Higher
101192903064005,Lower secondary
101192903064006,Higher
101192903065001,Long apprentice
101192903065002,Higher
101192903065003,Long apprentice
101192903065004,Lower secondary
103050203003001,Higher
103050203003002,Short Apprentice
103050203003003,Lower secondary
103050203003004,Primary
103050203004001,Higher
103050203004002,
103050203004003,Higher
103050203004004,Higher
103050203004005,Higher
103050203004006,
103050203005001,Secondary
103050203005002,Secondary
103050203005003,Higher
103050203005004,Lower secondary
103050203006001,Lower secondary
103050203006002,Secondary
103050203006003,Lower secondary
103050203006004,Primary
103050203007001,Higher
103050203007002,Secondary
103050203007003,Lower secondary
103050203009001,Lower secondary
103050203009002,Secondary
103050203009003,Secondary
103050203009004,Lower secondary
103050203009005,Primary
103050203010001,Long apprentice
103050203010002,Secondary
103050203010003,Long apprentice
103050203010004,Short Apprentice
103050203010005,
103050203011001,Lower secondary
103050203011002,Higher
103050203012001,Lower secondary
103050203012002,Secondary
103050203012003,Secondary
103050203012004,Lower secondary
103050203013001,Higher
103050203013002,Long apprentice
103050203013003,Primary
103050203014001,Secondary
103050203014002,Secondary
103050203014003,
103050203014004,Primary
103050203015001,Higher
103050203015002,Long apprentice
103050203015003,Secondary
103050203016001,Primary
103050203016002,Secondary
103050203016003,Primary
103050203017001,Secondary
103050203017002,Higher
103050203017003,Long apprentice
103050203017004,Higher
103050203018001,Long apprentice
103050203018002,Long apprentice
103050203018003,Higher
103050203018004,Higher
103050203018005,Primary
103050203018006,
103050203019001,Lower secondary
103050203019002,Primary
103050203019003,Lower secondary
103050203020001,Higher
103050203020002,Secondary
103050203020003,Primary
103050203021001,Higher
103050203021002,Higher
103050203021003,Higher
103050203021004,Lower secondary
