MEMID,ED16A
000101051901301001,Lower secondary diploma
000101051901301002,Lower secondary diploma
000101051901301003,Lower secondary diploma
000101051901301004,College University or higher
000101051901302001,Lower secondary diploma
000101051901302002,College University or higher
000101051901303001,Lower secondary diploma
000101051901303002,Technical higher school
000101051901303003,Lower secondary diploma
000101051901304001,College University or higher
000101051901304002,Technical higher school
000101051901304003,College University or higher
000101051901304004,College University or higher
000101051901304005,Upper secondary diploma
000101051901304006,Primary
000101051901304007,Preschool
000101051901305001,Upper secondary diploma
000101051901305002,College University or higher
000101051901305003,Upper secondary diploma
000101051901305004,Lower secondary diploma
000101051901308001,Lower secondary diploma
000101051901309001,Primary
000101051901309002,Upper secondary diploma
000101051901309003,College University or higher
000101051901309004,Technical higher school
000101051901309005,
000101051901309006,
000101051901310001,Technical higher school
000101051901310002,Technical higher school
000101051901310003,Lower secondary diploma
000101051901311001,Upper secondary diploma
000101051901311002,Upper secondary diploma
000101051901311003,Primary
000101051901311004,
000101051901312001,Lower secondary diploma
000101051901312002,Lower secondary diploma
000101051901312003,Primary
000101051901312004,Preschool
000101051901313001,Lower secondary diploma
000101051901313002,College University or higher
000101051901313003,Primary
000101051901313004,
000101051901314001,Lower secondary diploma
000101051901314002,Technical higher school
000101051901314003,Lower secondary diploma
000101051901314004,Lower secondary diploma
000101051901318001,College University or higher
000101051901318002,Lower secondary diploma
000101051901318003,Primary
000101051901318004,Lower secondary diploma
000101051901319001,Non-standard curriculum
000101051901319002,Primary
000101051901319003,Upper secondary diploma
000101051901320001,Lower secondary diploma
000101051901320002,Primary
000101051901321001,Upper secondary diploma
000101051901321002,Lower secondary diploma
000101051901323001,Lower secondary diploma
000101051901323002,Upper secondary diploma
000101051901323003,Lower secondary diploma
000101051901323004,Primary
000101051901324001,College University or higher
000101051901324002,College University or higher
000101051901324003,College University or higher
000101051901325001,Upper secondary diploma
000101051901325002,Lower secondary diploma
000101051901325003,College University or higher
000101051901325004,Upper secondary diploma
000101051901325005,Lower secondary diploma
000101051901325006,Lower secondary diploma
000101051901325007,
000101051901326001,Upper secondary diploma
000101051901326002,Lower secondary diploma
000101051901326003,Upper secondary diploma
000101051901326004,
000101051901327001,Lower secondary diploma
000101051901327002,Lower secondary diploma
